modelo,mae_test,rmse_test,r2_test,mae_train,rmse_train,r2_train
Linear Regression,2.5338743185889006,3.5220159952998644,0.25526810518618925,2.4293582664940554,3.3529186224137066,0.2853191617689629
Linear Regression (filtrado),2.533874318588899,3.5220159952998644,0.25526810518618914,2.429358266494054,3.352918622413707,0.28531916176896277
Random Forest,2.4072455089820357,3.1592736791295426,0.4007724055608658,0.8872604790419163,1.2519477639234053,0.9003588962083501
Random Forest (filtrado),2.3870059880239523,3.1933380316576474,0.38778059272558196,0.9168562874251498,1.278992282027155,0.8960075141465813
MLP,2.5995519161224365,3.526792526245117,0.2532467246055603,1.1060800552368164,1.4604231119155884,0.8644112944602966
MLP (filtrado),2.9408185482025146,4.097175598144531,-0.007827997207641602,2.841838836669922,3.8316428661346436,0.06666797399520874
