,0
faltas,0.006987042068618443
academia_si,0.004445365938429191
sexo_M,0.0037264427459597015
SalAm,0.0034366053571925903
EstSup_si,0.0030366679796124175
razon_reputacion,0.0029841725229294625
sexo_F,0.0028430001808295914
ApFam_si,0.0026430854172453167
escuela_IC,0.0026073974525361978
edad,0.0024736652086938095
apoyo_si,0.002358755331758644
enfermeria_si,0.0020864156959930825
EstPadres_S,0.0019911701975399154
asignatura_L,0.0017931032640827738
enfermeria_no,0.0013809916596985161
EstPadres_J,0.001374884086641437
Ptrab_docencia,0.0013434169398728103
Mtrab_servicios,0.001262206912119268
asignatura_M,0.0011245128810211114
Ptrab_servicios,0.0008807326876507204
Ptrab_sanidad,0.0007999047646592317
apoyo_no,0.0007760988867977047
Ptrab_casa,0.0006605901112887835
Mtrab_sanidad,0.000363629597469739
Mtrab_otros,-2.2282086579039627e-05
razon_otros,-0.00029576148063927834
Mtrab_casa,-0.0003273089461210077
Mtrab_docencia,-0.0004903352748222289
razon_otras,-0.0005267899245666285
extras_no,-0.0013686306479611331
tutor_otros,-0.0013959082651673782
RelFam,-0.0014034498717288458
razon_cercania,-0.001522272275164127
entorno_R,-0.0017138618535886608
EstSup_no,-0.001949504842589711
TamFam_>=4,-0.0020533749285501558
entorno_U,-0.002070192071024479
salud,-0.002123871391554566
ApFam_no,-0.0021791692218577907
TamFam_<4,-0.002200026791295251
academia_no,-0.0022585439277770904
tutor_padre,-0.0022907099579741797
internet_si,-0.0023105381933326897
pareja_no,-0.0023955836267317565
escuela_BG,-0.0024707394861462006
tutor_madre,-0.00256505554839368
Ptrab_otros,-0.002985650514085769
extras_si,-0.0030251133365114314
TiempoLib,-0.0038598291818569665
TiempoViaje,-0.004183216562931413
internet_no,-0.0044035086937537216
razon_optativas,-0.005487314873042948
pareja_si,-0.007228539712128423
AlcFin,-0.008280544493057818
Medu,-0.008303232857218923
Pedu,-0.008678166712854462
suspensos,-0.009506899305873163
TiempoEstudio,-0.010235943650856782
AlcSem,-0.01496892340888536
