modelo,mae_test,rmse_test,r2_test,mae_train,rmse_train,r2_train
Linear Regression,0.9850101393070667,1.6114582386052398,0.8440966611689952,0.9195627595987494,1.5287254900584322,0.8514320515114606
Linear Regression (filtrado),0.9850101393070683,1.611458238605239,0.8440966611689954,0.9195627595987509,1.5287254900584322,0.8514320515114606
Random Forest,0.8914371257485029,1.3549932054539415,0.8897720981547019,0.3493712574850299,0.5811693250947935,0.9785280503853224
Random Forest (filtrado),0.8954110939697612,1.357230408433238,0.8894078073679123,0.7461483254000991,1.3334004519831413,0.8869716706990391
MLP,1.1149309873580933,1.7602602243423462,0.8139750957489014,0.6243835091590881,0.8960700035095215,0.9489553570747375
MLP (filtrado),1.1337662935256958,1.672927737236023,0.8319758772850037,1.0781350135803223,1.658775806427002,0.8250792026519775
